gene	t
SCN7A	29.77750922454929
RP5-884M6.1	29.775385358572116
AC000089.3	29.741727927502474
RP4-710M16.2	29.736951663014576
GCHFR	29.72025844315882
SERPINA1	29.715988079320756
PNMA2	29.679875722056625
PON2	29.663159657872527
RP11-719K4.3	29.620735405978895
CTSH	29.588588558258397
KRT18P8	29.55702172961737
HK3	29.551965782241545
ACSM3	29.541524018640175
BRI3	29.54140655095495
TNIP3	29.488689557938734
RP11-276H7.2	29.477867254528938
C9ORF3	29.437491514222074
AQP9	29.41228144861151
SYTL3	29.376473055791145
MYO1G	29.344302831442125
FAM13A	29.31854653761901
ANXA11	29.294718525702297
LRRC20	29.28228194026296
LINC01460	29.274937352760478
IL31RA	29.268697421878475
SNTN	29.267040368306375
LPIN2	29.21773489503907
CCDC37	29.215015030506297
SLPI	29.191623665846425
RP11-320N7.2	29.191345704248267
CTC-498J12.1	29.172379926757525
NUDT16P1	29.167883732265036
RP11-238K6.1	29.149760433740482
IL7	29.142687926388284
AC079630.4	29.13950978889398
CR1	29.12334966298341
CTD-2547H18.1	29.118393663231583
ID1	29.107985245258217
PNKD	29.065153504001543
TAGLN2P1	29.039189536145454
CCDC82	29.020590546303286
WDR49	29.01961675137941
SLC9A6	28.99871804003006
HTR3A	28.994289580571042
CTC-573N18.1	28.976620625932973
LACTB2	28.9583943346563
SLC51B	28.946237076969794
CRTAC1	28.939509692973576
B3GNT8	28.933034523019426
CPNE2	28.92489832246758
RP3-340N1.2	28.923055904385254
PTPRE	28.921100201118346
CYBA	28.90817659161742
RP11-1260E13.2	28.9063969188678
PITPNM3	28.902726871448092
NCOA7	28.854585428612626
PCP4L1	28.838577467157293
NCMAP	28.83292179207054
RP11-167N4.2	28.82413628091397
RP11-513N24.1	28.803427987272883
RP11-1094H24.4	28.802966117940798
C2	28.764222008772016
RP11-320M2.1	28.748327623367828
CP	28.731361698778517
STOML3	28.716487278209343
RP11-27G14.4	28.701816294241755
PCSK9	28.695260645269084
FAM83E	28.688980413949626
RP3-342P20.2	28.681725407069898
LHX9	28.666771957523977
FDX1	28.64326987098744
RP5-875H18.9	28.628947947707477
RMDN2	28.62769004728083
DPPA3P2	28.623758699270475
AMY1B	28.622823662114733
