gene	t
AP1S3	25.561002795757837
RP4-756G23.5	25.558557604865378
NAMPT	25.555328012830433
ULBP1	25.549426501320468
HTATIP2	25.542823572551523
AHSG	25.537681399810715
RSPH14	25.536018491497362
TAS2R2P	25.535337430845836
POU5F1	25.530117751101297
HHIP	25.52218344393965
CYCSP6	25.520715889661513
AC142528.1	25.520085082682282
MARCO	25.514315077057862
ODF3L1	25.51431377032147
SBSN	25.49118130544153
KRT17P1	25.486178052487503
ZDHHC19	25.474135811953886
STK17A	25.462718924112867
IL6	25.44692690005061
CXCL2	25.44016684534848
WNT16	25.434217328575016
NCK1	25.428495994029454
SLC6A8	25.402768917121527
AF127577.8	25.398558005849797
PSMD7	25.396999671637435
TMEM44	25.383223683938127
PVR	25.380019412089723
AJUBA	25.379064834220685
RP11-902B17.1	25.36631619642617
CD9	25.32770886379969
SULT1E1	25.319352279067754
RP11-109J4.1	25.31850926611625
LINC00520	25.308312325282937
CSK	25.307516956791627
PPARA	25.298657256249705
AC092669.3	25.289925409483704
RP11-356J5.12	25.285810210565273
PIF1	25.278661585452635
AC007389.3	25.272749977248406
SNX31	25.252821697226857
RAB38	25.243260297554365
GNB1L	25.238792032013666
ACKR3	25.23838359927329
FAM3C	25.234241939093092
RP11-993B23.3	25.227287405461258
LINC00239	25.219250337294532
GSTO1	25.21924209766228
CNN2	25.215964546041402
RPS11P6	25.208251201512873
WNT7B	25.20597856256041
RP11-29G8.3	25.204411529863922
DESI1	25.194952132127508
AC007879.7	25.187878496924302
GKN2	25.181634474964884
RP4-738P11.4	25.178774245406245
FOXN2	25.156202933582573
RP3-510D11.2	25.130646548623577
ARG2	25.112103555396136
RP11-493L12.6	25.097647053200042
LCN2	25.09088105237492
LINC00278	25.089988536031463
CTSV	25.079291563719142
SOCS3	25.070246335621885
